"Transaction ID","Posting Date","Effective Date","Transaction Type","Amount","Check Number","Reference Number","Description","Transaction Category","Type","Balance","Memo","Extended Description"
"20210217 64148 1,059 242,047","2/17/2021","2/17/2021","Debit","-10.59000","","30724666","Recurring Withdr Spotify USA New York NY Date 02/17/21 27023 4899 Card 15 #1501","","Card","520.79000","","Recurring Withdr Spotify USA New York NY Date 02/17/21 27023 4899 Card 15 #1501"
"20210216 64148 18,114 304,404","2/16/2021","2/16/2021","Debit","-181.14000","","30724665","QIN BIN CO: QIN BIN TYPE: IAT PAYPAL  ID: 770510487C DATA: FF3               US ACH ECC IAT ACH Trace 464","Shopping","ACH","531.38000","","QIN BIN CO: QIN BIN TYPE: IAT PAYPAL  ID: 770510487C DATA: FF3               US ACH ECC IAT ACH Trace 464"
"20210215 64148 604 355,784","2/15/2021","2/15/2021","Debit","-6.04000","","30724664","#022584 WENDY'S - TURF 7434 TURFWAY RD FLORENCE KY Card 15 #1501","","POS","712.52000","","#022584 WENDY'S - TURF 7434 TURFWAY RD FLORENCE KY Card 15 #1501"
"20210214 64148 3,493 269,842","2/14/2021","2/14/2021","Debit","-34.93000","","30724663","#010412 KROGER #4 2150 DIX FORT MITCHELL KY Card 15 #1501","","POS","718.56000","","#010412 KROGER #4 2150 DIX FORT MITCHELL KY Card 15 #1501"
"20210213 64148 2,000 351,402","2/13/2021","2/13/2021","Debit","-20.00000","","30724662","#339231 KROGER FU 2150 DIX FORT MITCHELL KY Card 15 #1501","","POS","753.49000","","#339231 KROGER FU 2150 DIX FORT MITCHELL KY Card 15 #1501"
"20210213 64148 7,639 350,629","2/13/2021","2/13/2021","Debit","-76.39000","","30724661","#120918 KROGER #4 2150 DIX FORT MITCHELL KY Card 15 #1501","","POS","773.49000","","#120918 KROGER #4 2150 DIX FORT MITCHELL KY Card 15 #1501"
"20210212 64148 4,000 281,985","2/12/2021","2/12/2021","Debit","-40.00000","","30724660","Withdrawal Debit ACAPULCO 7 FLORENCE KY Date 02/11/21 24784 5812 Card 15 #1501","","Card","849.88000","","Withdrawal Debit ACAPULCO 7 FLORENCE KY Date 02/11/21 24784 5812 Card 15 #1501"
"20210212 64148 6,865 280,822","2/12/2021","2/12/2021","Debit","-68.65000","","30724659","Withdrawal Debit THE PARTY SOURCE BELLEVUE KY Date 02/11/21 43280 5921 Card 15 #1501","","Card","889.88000","","Withdrawal Debit THE PARTY SOURCE BELLEVUE KY Date 02/11/21 43280 5921 Card 15 #1501"
"20210211 64148 9,000 298,420","2/11/2021","2/11/2021","Debit","-90.00000","","30437099","VENMO TYPE: PAYMENT  ID: 1992  CO: VENMO ACH ECC WEB ACH Trace 151","","ACH","958.53000","","VENMO TYPE: PAYMENT  ID: 1992  CO: VENMO ACH ECC WEB ACH Trace 151"
"20210210 64148 1,733 418,449","2/10/2021","2/10/2021","Debit","-17.33000","","30437098","Withdrawal Debit Subway 60534 Erlanger KY Date 02/10/21 27023 5814 Card 15 #1501","Food & Dining","Card","1048.53000","","Withdrawal Debit Subway 60534 Erlanger KY Date 02/10/21 27023 5814 Card 15 #1501"
"20210210 64148 771 373,767","2/10/2021","2/10/2021","Debit","-7.71000","","30437097","#021411 SHELL SERVICE S ERLANGER KY Card 15 #1501","Auto & Transport","POS","1065.86000","","#021411 SHELL SERVICE S ERLANGER KY Card 15 #1501"
"20210208 64148 965 497,743","2/8/2021","2/8/2021","Debit","-9.65000","","30378796","Withdrawal Debit Subway 60534 Erlanger KY Date 02/08/21 27023 5814 Card 15 #1501","Food & Dining","Card","1073.57000","","Withdrawal Debit Subway 60534 Erlanger KY Date 02/08/21 27023 5814 Card 15 #1501"
"20210208 64148 17,000 363,169","2/8/2021","2/8/2021","Debit","-170.00000","","30378795","VENMO TYPE: PAYMENT  ID: 1992  CO: VENMO ACH ECC WEB ACH Trace 350","","ACH","1083.22000","","VENMO TYPE: PAYMENT  ID: 1992  CO: VENMO ACH ECC WEB ACH Trace 350"
"20210208 64148 7,500 363,164","2/8/2021","2/8/2021","Debit","-75.00000","","30378794","VENMO TYPE: PAYMENT  ID: 1992  CO: VENMO ACH ECC WEB ACH Trace 172","","ACH","1253.22000","","VENMO TYPE: PAYMENT  ID: 1992  CO: VENMO ACH ECC WEB ACH Trace 172"
"20210206 64148 3,752 367,102","2/6/2021","2/6/2021","Debit","-37.52000","","30378793","#119865 KROGER #4 2150 DIX FORT MITCHELL KY Card 15 #1501","","POS","1328.22000","","#119865 KROGER #4 2150 DIX FORT MITCHELL KY Card 15 #1501"
"20210206 64148 1,420 278,493","2/6/2021","2/6/2021","Debit","-14.20000","","30378792","Withdrawal Debit ACAPULCO 7 FLORENCE KY Date 02/05/21 24784 5812 Card 15 #1501","","Card","1365.74000","","Withdrawal Debit ACAPULCO 7 FLORENCE KY Date 02/05/21 24784 5812 Card 15 #1501"
"20210206 64148 20,000 6,781","2/6/2021","2/5/2021","Credit","200.00000","","30210196","From Share 0000 F3B_/","","Retail ACH","1379.94000","","From Share 0000 F3B_/"
"20210205 64148 371 374,618","2/5/2021","2/5/2021","Debit","-3.71000","","30210078","#964693 SHELL SERVICE S ERLANGER KY Card 15 #1501","Auto & Transport","POS","1179.94000","","#964693 SHELL SERVICE S ERLANGER KY Card 15 #1501"
"20210203 64148 561 385,825","2/3/2021","2/3/2021","Debit","-5.61000","","30133027","#051314 WENDY'S - TURF 7434 TURFWAY RD FLORENCE KY Card 15 #1501","","POS","1183.65000","","#051314 WENDY'S - TURF 7434 TURFWAY RD FLORENCE KY Card 15 #1501"
"20210203 64148 709 350,812","2/3/2021","2/3/2021","Debit","-7.09000","","30133026","#538301 SHELL SERVICE S ERLANGER KY Card 15 #1501","Auto & Transport","POS","1189.26000","","#538301 SHELL SERVICE S ERLANGER KY Card 15 #1501"
"20210202 64148 965 433,435","2/2/2021","2/2/2021","Debit","-9.65000","","30133024","Withdrawal Debit Subway 60534 Erlanger KY Date 02/02/21 27027 5814 Card 15 #1501","Food & Dining","Card","1196.35000","","Withdrawal Debit Subway 60534 Erlanger KY Date 02/02/21 27027 5814 Card 15 #1501"
"20210202 64148 100,000 408,037","2/2/2021","2/2/2021","Credit","1000.00000","","29961698","From Share 0000 gme","","Retail ACH","1206.00000","","From Share 0000 gme"
"20210202 64148 120,000 311,609","2/2/2021","2/2/2021","Debit","-1200.00000","","29961614","NAVI ED SERV WEB TYPE: STUDNTLOAN  ID: 1102 DATA: ACH TRANSACTION CO: NAVI ED SERV WEB ACH ECC WEB ACH Trace 006","","ACH","206.00000","","NAVI ED SERV WEB TYPE: STUDNTLOAN  ID: 1102 DATA: ACH TRANSACTION CO: NAVI ED SERV WEB ACH ECC WEB ACH Trace 006"
"20210201 64148 700 632,297","2/1/2021","2/1/2021","Debit","-7.00000","","29961613","Withdrawal Debit Subway 60534 Erlanger KY Date 02/01/21 27020 5814 Card 15 #1501","Food & Dining","Card","1406.00000","","Withdrawal Debit Subway 60534 Erlanger KY Date 02/01/21 27020 5814 Card 15 #1501"
"20210201 64148 549 586,128","2/1/2021","2/1/2021","Debit","-5.49000","","29901592","#135263 SHELL SERVICE S ERLANGER KY Card 15 #1501","Auto & Transport","POS","1413.00000","","#135263 SHELL SERVICE S ERLANGER KY Card 15 #1501"
"20210201 64148 4,769 568,719","2/1/2021","2/1/2021","Debit","-47.69000","","29901591","#912111 AMAZON.COM*PE4 SEATTLE WA Card 15 #1501","","POS","1418.49000","","#912111 AMAZON.COM*PE4 SEATTLE WA Card 15 #1501"
"20210201 64148 1,479 568,703","2/1/2021","2/1/2021","Debit","-14.79000","","29901590","#909721 AMAZON.COM*W05 SEATTLE WA Card 15 #1501","","POS","1466.18000","","#909721 AMAZON.COM*W05 SEATTLE WA Card 15 #1501"
"20210201 64148 4,824 559,425","2/1/2021","2/1/2021","Debit","-48.24000","","29901589","Withdrawal Debit SP * ELITESRS FITNESS 0752 WA Date 01/31/21 42957 5941 Card 15 #1501","","Card","1480.97000","","Withdrawal Debit SP * ELITESRS FITNESS 0752 WA Date 01/31/21 42957 5941 Card 15 #1501"
"20210201 64148 5,700 385,686","2/1/2021","2/1/2021","Debit","-57.00000","","29901588","Withdrawal Debit THE LIQUOR BOX LLC INDEPENDENCE KY Date 01/30/21 19117 5921 Card 15 #1501","","Card","1529.21000","","Withdrawal Debit THE LIQUOR BOX LLC INDEPENDENCE KY Date 01/30/21 19117 5921 Card 15 #1501"
"20210131 64148 150,000 246,171","1/31/2021","1/31/2021","Credit","1500.00000","","29802969","From Share 0000 Loans +jump rope,etc","","Retail ACH","1586.21000","","From Share 0000 Loans +jump rope,etc"
"20210130 64148 2,119 349,810","1/30/2021","1/30/2021","Debit","-21.19000","","29802954","#065030 GAMESTOP #1623 7753 MALL RD STE D FLORENCE KY Card 15 #1501","","POS","86.21000","","#065030 GAMESTOP #1623 7753 MALL RD STE D FLORENCE KY Card 15 #1501"
"20210130 64148 1,203 329,470","1/30/2021","1/30/2021","Debit","-12.03000","","29802953","#944478 MEIJER 159 6325 S FAIRFIELD OH Card 15 #1501","","POS","107.40000","","#944478 MEIJER 159 6325 S FAIRFIELD OH Card 15 #1501"
"20210130 64148 1,627 279,096","1/30/2021","1/30/2021","Debit","-16.27000","","29776752","Withdrawal Debit CARIBBEAN CRAVINGS FLORENCE KY Date 01/29/21 65423 5812 Card 15 #1501","","Card","119.43000","","Withdrawal Debit CARIBBEAN CRAVINGS FLORENCE KY Date 01/29/21 65423 5812 Card 15 #1501"
"20210128 64148 848 420,899","1/28/2021","1/28/2021","Debit","-8.48000","","29671064","#063889 WENDY'S - TURF 7434 TURFWAY RD FLORENCE KY Card 15 #1501","","POS","135.70000","","#063889 WENDY'S - TURF 7434 TURFWAY RD FLORENCE KY Card 15 #1501"
"20210127 64148 991 425,208","1/27/2021","1/27/2021","Debit","-9.91000","","29671063","Withdrawal Debit Subway 60534 Erlanger KY Date 01/27/21 27023 5814 Card 15 #1501","Food & Dining","Card","144.18000","","Withdrawal Debit Subway 60534 Erlanger KY Date 01/27/21 27023 5814 Card 15 #1501"
"20210126 64148 2,500 397,095","1/26/2021","1/26/2021","Debit","-25.00000","","29671062","#003169 CINFED CU 7170 TURFWAY RD FLORENCE KY Card 15 #1501","","ATM","154.09000","","#003169 CINFED CU 7170 TURFWAY RD FLORENCE KY Card 15 #1501"
"20210126 64148 561 367,636","1/26/2021","1/26/2021","Debit","-5.61000","","29671061","#061895 WENDY'S - TURF 7434 TURFWAY RD FLORENCE KY Card 15 #1501","","POS","179.09000","","#061895 WENDY'S - TURF 7434 TURFWAY RD FLORENCE KY Card 15 #1501"
"20210125 64148 991 550,695","1/25/2021","1/25/2021","Debit","-9.91000","","29671060","Withdrawal Debit Subway 60534 Erlanger KY Date 01/25/21 27025 5814 Card 15 #1501","Food & Dining","Card","184.70000","","Withdrawal Debit Subway 60534 Erlanger KY Date 01/25/21 27025 5814 Card 15 #1501"
"20210125 64148 2,000 537,481","1/25/2021","1/25/2021","Debit","-20.00000","","29671059","#587908 SUNOCO 05068051 ELSMERE KY Card 15 #1501","","POS","194.61000","","#587908 SUNOCO 05068051 ELSMERE KY Card 15 #1501"
"20210125 64148 530 503,168","1/25/2021","1/25/2021","Debit","-5.30000","","29671058","#183043 SHELL SERVICE S ERLANGER KY Card 15 #1501","Auto & Transport","POS","214.61000","","#183043 SHELL SERVICE S ERLANGER KY Card 15 #1501"
"20210122 64148 847 443,531","1/22/2021","1/22/2021","Debit","-8.47000","","29671057","#048548 WENDY'S - TURF 7434 TURFWAY RD FLORENCE KY Card 15 #1501","","POS","219.91000","","#048548 WENDY'S - TURF 7434 TURFWAY RD FLORENCE KY Card 15 #1501"
"20210122 64148 20,000 443,296","1/22/2021","1/22/2021","Credit","200.00000","","29671056","From Share 0000 Mbr Rmks for the rest of the month","","Retail ACH","228.38000","","From Share 0000 Mbr Rmks for the rest of the month"
"20210121 64148 1,587 474,029","1/21/2021","1/21/2021","Debit","-15.87000","","29671055","#230001 KROGER #4 130 PAVI NEWPORT KY Card 15 #1501","","POS","28.38000","","#230001 KROGER #4 130 PAVI NEWPORT KY Card 15 #1501"
"20210121 64148 7,859 472,868","1/21/2021","1/21/2021","Debit","-78.59000","","29671054","#129674 KROGER #4 130 PAVI NEWPORT KY Card 15 #1501","","POS","44.25000","","#129674 KROGER #4 130 PAVI NEWPORT KY Card 15 #1501"
"20210120 64148 991 447,093","1/20/2021","1/20/2021","Debit","-9.91000","","29671053","Withdrawal Debit Subway 60534 Erlanger KY Date 01/20/21 27020 5814 Card 15 #1501","Food & Dining","Card","122.84000","","Withdrawal Debit Subway 60534 Erlanger KY Date 01/20/21 27020 5814 Card 15 #1501"
"20210120 64148 5,592 423,801","1/20/2021","1/20/2021","Debit","-55.92000","","29671052","#222675 KROGER #9 3158 DIX ERLANGER KY Card 15 #1501","","POS","132.75000","","#222675 KROGER #9 3158 DIX ERLANGER KY Card 15 #1501"
"20210119 64148 15,000 315,488","1/19/2021","1/19/2021","Debit","-150.00000","","29671051","VENMO TYPE: PAYMENT  ID: 1992  CO: VENMO ACH ECC WEB ACH Trace 627","","ACH","188.67000","","VENMO TYPE: PAYMENT  ID: 1992  CO: VENMO ACH ECC WEB ACH Trace 627"
"20210118 64148 3,759 276,389","1/18/2021","1/18/2021","Debit","-37.59000","","29671050","Withdrawal Debit THE PARTY SOURCE BELLEVUE KY Date 01/16/21 43285 5921 Card 15 #1501","","Card","338.67000","","Withdrawal Debit THE PARTY SOURCE BELLEVUE KY Date 01/16/21 43285 5921 Card 15 #1501"
"20210118 64148 2,036 257,272","1/18/2021","1/18/2021","Debit","-20.36000","","29671049","Withdrawal Debit DOMINO'S 2371 513-886-2641 OH Date 01/16/21 43683 5814 Card 15 #1501","Food & Dining","Card","376.26000","","Withdrawal Debit DOMINO'S 2371 513-886-2641 OH Date 01/16/21 43683 5814 Card 15 #1501"
"20210118 64148 1,059 249,755","1/18/2021","1/18/2021","Debit","-10.59000","","29671048","Recurring Withdr Spotify USA New York NY Date 01/17/21 27020 4899 Card 15 #1501","","Card","396.62000","","Recurring Withdr Spotify USA New York NY Date 01/17/21 27020 4899 Card 15 #1501"
"20210116 64148 1,500 377,449","1/16/2021","1/16/2021","Debit","-15.00000","","29671047","#812990 SUNOCO 05068051 ELSMERE KY Card 15 #1501","","POS","407.21000","","#812990 SUNOCO 05068051 ELSMERE KY Card 15 #1501"
"20210116 64148 2,500 282,394","1/16/2021","1/16/2021","Debit","-25.00000","","29671046","Withdrawal Debit GURU INDIA RESTAURANT CRESCENT SPRI KY Date 01/15/21 24786 5812 Card 15 #1501","","Card","422.21000","","Withdrawal Debit GURU INDIA RESTAURANT CRESCENT SPRI KY Date 01/15/21 24786 5812 Card 15 #1501"
"20210115 64148 3,000 467,791","1/15/2021","1/15/2021","Debit","-30.00000","","29671045","Withdrawal Debit LA TORTA LOCA LLC FLORENCE KY Date 01/14/21 50496 5499 Card 15 #1501","","Card","447.21000","","Withdrawal Debit LA TORTA LOCA LLC FLORENCE KY Date 01/14/21 50496 5499 Card 15 #1501"
"20210113 64148 991 430,724","1/13/2021","1/13/2021","Debit","-9.91000","","29671044","Withdrawal Debit Subway 60534 Erlanger KY Date 01/13/21 27023 5814 Card 15 #1501","Food & Dining","Card","477.21000","","Withdrawal Debit Subway 60534 Erlanger KY Date 01/13/21 27023 5814 Card 15 #1501"
"20210113 64148 3,955 417,900","1/13/2021","1/13/2021","Debit","-39.55000","","28954405","#222702 KROGER #9 3158 DIX ERLANGER KY Card 15 #1501","","POS","487.12000","","#222702 KROGER #9 3158 DIX ERLANGER KY Card 15 #1501"
"20210111 64148 991 526,131","1/11/2021","1/11/2021","Debit","-9.91000","","15679983","Withdrawal Debit Subway 60534 Erlanger KY Date 01/11/21 27020 5814 Card 15 #1501","Food & Dining","Card","526.67000","","Withdrawal Debit Subway 60534 Erlanger KY Date 01/11/21 27020 5814 Card 15 #1501"
"20210111 64148 9,000 370,735","1/11/2021","1/11/2021","Debit","-90.00000","","15679982","VENMO TYPE: PAYMENT  ID: 1992  CO: VENMO ACH ECC WEB ACH Trace 456","","ACH","536.58000","","VENMO TYPE: PAYMENT  ID: 1992  CO: VENMO ACH ECC WEB ACH Trace 456"
"20210108 64148 1,799 291,057","1/8/2021","1/8/2021","Debit","-17.99000","","15679981","Recurring Withdr EIG*BLUEHOST.COM 888-4014678 UT Date 01/07/21 41827 5968 Card 15 #1501","","Card","626.58000","","Recurring Withdr EIG*BLUEHOST.COM 888-4014678 UT Date 01/07/21 41827 5968 Card 15 #1501"
"20210107 64148 50,000 2,983","1/7/2021","1/6/2021","Credit","500.00000","","15679980","From Share 0000 Mbr Rmks what a start to 2021","","Retail ACH","644.57000","","From Share 0000 Mbr Rmks what a start to 2021"
"20210106 64148 1,272 401,511","1/6/2021","1/6/2021","Debit","-12.72000","","15679979","#077108 NWS STAPLES 00 7659 MALL ROAD FLORENCE KY Card 15 #1501","Business Services","POS","144.57000","","#077108 NWS STAPLES 00 7659 MALL ROAD FLORENCE KY Card 15 #1501"
"20210106 64148 6,569 399,501","1/6/2021","1/6/2021","Debit","-65.69000","","15679978","#755909 KROGER #4 7685 MAL FLORENCE KY Card 15 #1501","","POS","157.29000","","#755909 KROGER #4 7685 MAL FLORENCE KY Card 15 #1501"
"20210106 64148 3,460 398,441","1/6/2021","1/6/2021","Debit","-34.60000","","15679977","#751922 KROGER #4 7685 MAL FLORENCE KY Card 15 #1501","","POS","222.98000","","#751922 KROGER #4 7685 MAL FLORENCE KY Card 15 #1501"
"20210104 64148 25,000 561,917","1/4/2021","1/4/2021","Credit","250.00000","","15679976","From Share 0000 Mbr Rmks bluehost domain+covid19 test?","","Retail ACH","257.58000","","From Share 0000 Mbr Rmks bluehost domain+covid19 test?"
"20210103 64148 7,000 325,445","1/3/2021","1/3/2021","Debit","-70.00000","","15679975","Withdrawal Debit LA MEXICANA - NEWPORT NEWPORT KY Date 01/02/21 31460 5812 Card 15 #1501","","Card","7.58000","","Withdrawal Debit LA MEXICANA - NEWPORT NEWPORT KY Date 01/02/21 31460 5812 Card 15 #1501"
"20210102 64148 712 378,945","1/2/2021","1/2/2021","Debit","-7.12000","","15679974","#017563 KROGER #4 130 PAVI NEWPORT KY Card 15 #1501","","POS","77.58000","","#017563 KROGER #4 130 PAVI NEWPORT KY Card 15 #1501"
"20210102 64148 7,500 259,053","1/2/2021","1/2/2021","Debit","-75.00000","","15679973","Withdrawal Debit DRAKE'S FLORENCE FLORENCE KY Date 01/01/21 18744 5812 Card 15 #1501","","Card","84.70000","","Withdrawal Debit DRAKE'S FLORENCE FLORENCE KY Date 01/01/21 18744 5812 Card 15 #1501"
"20201231 64148 10,000 476,989","12/31/2020","12/31/2020","Credit","100.00000","","15679972","From Share 0000 Mbr Rmks nye","","Retail ACH","159.70000","","From Share 0000 Mbr Rmks nye"
"20201231 64148 4,500 364,842","12/31/2020","12/31/2020","Debit","-45.00000","","15679971","Withdrawal Debit MELLOW MUSHROOM OLO #1 6600 KY Date 12/30/20 45703 5814 Card 15 #1501","","Card","59.70000","","Withdrawal Debit MELLOW MUSHROOM OLO #1 6600 KY Date 12/30/20 45703 5814 Card 15 #1501"
"20201230 64148 9,000 365,053","12/30/2020","12/30/2020","Debit","-90.00000","","15679970","VENMO TYPE: PAYMENT  ID: 1992  CO: VENMO ACH ECC WEB ACH Trace 491","","ACH","104.70000","","VENMO TYPE: PAYMENT  ID: 1992  CO: VENMO ACH ECC WEB ACH Trace 491"
"20201230 64148 7,000 365,048","12/30/2020","12/30/2020","Debit","-70.00000","","15679969","VENMO TYPE: PAYMENT  ID: 1992  CO: VENMO ACH ECC WEB ACH Trace 832","","ACH","194.70000","","VENMO TYPE: PAYMENT  ID: 1992  CO: VENMO ACH ECC WEB ACH Trace 832"
"20201229 64148 740 437,870","12/29/2020","12/29/2020","Debit","-7.40000","","15679968","#042269 IN AND OUT FOOD Erlanger KY Card 15 #1501","","POS","264.70000","","#042269 IN AND OUT FOOD Erlanger KY Card 15 #1501"
"20201228 64148 1,197 488,942","12/28/2020","12/28/2020","Debit","-11.97000","","15679967","#132609 KROGER #4 7685 MAL FLORENCE KY Card 15 #1501","","POS","272.10000","","#132609 KROGER #4 7685 MAL FLORENCE KY Card 15 #1501"
"20201228 64148 1,657 254,348","12/28/2020","12/28/2020","Debit","-16.57000","","15679966","Withdrawal Debit NINTENDO *AMERICAUS 800-255-3700 WA Date 12/27/20 43285 5816 Card 15 #1501","","Card","284.07000","","Withdrawal Debit NINTENDO *AMERICAUS 800-255-3700 WA Date 12/27/20 43285 5816 Card 15 #1501"
"20201224 64148 11,988 280,163","12/24/2020","12/24/2020","Debit","-119.88000","","15679965","Recurring Withdr EIG*BLUEHOST.COM 888-4014678 UT Date 12/23/20 41825 5968 Card 15 #1501","","Card","300.64000","","Recurring Withdr EIG*BLUEHOST.COM 888-4014678 UT Date 12/23/20 41825 5968 Card 15 #1501"
"20201223 64148 7,948 429,180","12/23/2020","12/23/2020","Debit","-79.48000","","15679964","#453134 SY8 DICK'S SPO 1336 HANZEL AVE FLORENCE KY Card 15 #1501","","POS","420.52000","","#453134 SY8 DICK'S SPO 1336 HANZEL AVE FLORENCE KY Card 15 #1501"
"20201223 64148 30,000 419,966","12/23/2020","12/23/2020","Credit","300.00000","","15679963","From Share 0000 Mbr Rmks my back; thnx 2020","","Retail ACH","500.00000","","From Share 0000 Mbr Rmks my back; thnx 2020"
"20201223 64148 20,000 399,880","12/23/2020","12/23/2020","Credit","200.00000","","15679962","From Share 0000 Mbr Rmks stupid bluehost","","Retail ACH","200.00000","","From Share 0000 Mbr Rmks stupid bluehost"
